Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Insomniac Games,North America,"Burbank, CA (USA)",1994,~500+,Spider-Man sales,https://insomniac.games,press@insomniacgames.com (press),AAA action,Marvel's Spider-Man 2; Marvel's Spider-Man; Miles Morales; Ratchet & Clank: Rift Apart; Sunset Overdrive; Ratchet & Clank,yes — internship history,office,Sony / PlayStation Studios,Sony studio; Spider-Man and Ratchet define current output.
Insomniac North Carolina,North America,"Durham, NC (USA)",2020 (not Night School — Insomniac),~50-100,Spider-Man support,https://insomniac.games,press@insomniacgames.com (press),AAA support,Marvel's Spider-Man support; Ratchet & Clank support; Insomniac multiplayer tech; Durham studio slate; Spider-Man support; multiplayer systems; Marvel's Spider-Man destek,unknown,office,Sony / PlayStation Studios,Insomniac satellite studio.
Intercept Games,North America,USA,2020,~50-100,KSP2,https://www.privatedivision.com,press@privatedivision.com (press),space sim,Kerbal Space Program 2; Private Division publishing era; Take-Two studio slate; Private Division partnership,unknown,hybrid,Take-Two,KSP2 studio.
inXile Entertainment,North America,"Fountain Valley, CA (USA)",2002,~100–150,unknown (Microsoft),https://www.inxile-entertainment.com,press@inxile-entertainment.com (press),RPG / CRPG,Wasteland 3; Bard's Tale IV; Torment: Tides of Numenera; Wasteland; The Bard's Tale,unknown,office,Microsoft,Brian Fargo; Obsidian sibling studio.
Iron Galaxy,North America,"Chicago, IL (USA)",2008,~200-300,port / fighting,https://www.irongalaxystudios.com,press@irongalaxystudios.com (press),port; fighting,Killer Instinct; Disney Afternoon Collection; ports; ports/co-dev; port work,unknown,multi-office,independent,Port + fighting.
Irrational Games,North America,"Quincy, MA (USA)",1997-2017,closed / restructuring,BioShock; System Shock 2,https://www.irrationalgames.com,press@2k.com (press),immersive sim,BioShock; BioShock Infinite; System Shock 2,-,-,private (Take-Two),Historical; Ghost Story sequel.
Jam City,North America,"Los Angeles, CA (USA)",2010,~1000+,licensed mobile,https://www.jamcity.com,press@jamcity.com (press),mobile license / casual,Harry Potter: Puzzles & Spells; Cookie Jam; Disney Frozen Adventures; Wonderland Wilds; Harry Potter: Magic Awakened (hist.); Disney Emoji Blitz (hist.),unknown,hybrid,private (NetEase investment history),IP mobile publishing/development.
Kabam,North America,San Francisco / Vancouver,2006,~400+,Marvel / Fast & Furious mobile,https://kabam.com,press@kabam.com (press),mobile action-RPG,Marvel Contest of Champions; Marvel Strike Force; Transformers: Forged to Fight; Kingdoms of Camelot; Transformers; Infinite Magicraid,unknown,office,Netmarble,Licensed fighting/collection RPG.
King,Europe,Stockholm / London (+ San Francisco),2003,~2000+,Candy Crush billions $,https://king.com,press@king.com (press),mobile match-3 / casual,Candy Crush Saga; Farm Heroes Saga; Bubble Witch; Candy Crush Soda; Farm Heroes; Bubble Witch Saga; Candy Crush Friends; Pet Rescue Saga,unknown,hybrid possibility,Microsoft / Activision,Casual mobile revenue engine inside Activision Blizzard / Microsoft.
Kitfox Games,North America,"Montréal, QC (Canada)",2015,~20-40,publishing + development,https://www.kitfoxgames.com,info@kitfoxgames.com (general),indie publishing,Boyfriend Dungeon; Moon Hunters; Lucah; Lucah: Born of a Dream; Dwarf Fortress (publication),unknown,hybrid,independent,Montreal curator publishing.
Klei Entertainment,North America,"Vancouver, BC (Canada)",2005,~100-150,Don't Starve; ONI,https://www.klei.com,contact@kleientertainment.com (general),survival / sim,Don't Starve Together; Oxygen Not Included; Griftlands; Hot Lava; Don't Starve,unknown,office,Tencent minority,Don't Starve and Oxygen Not Included survival/systems craft.
Lightspeed LA,North America,"Los Angeles, CA (USA)",—,Tencent Lightspeed internal,global development,https://lightspeed.qq.com,press@tencentgames.com (press),PC/console / mobile,Lightspeed Studios projects; Tencent western slate; multiplayer R&D; LA co-dev; various Lightspeed projects,unknown,office,Tencent,Lightspeed Studios LA.
Lionbridge Games,North America,"Waltham, MA / global",—,thousands,localization / QA,https://www.lionbridge.com/games,press@lionbridge.com (press),localization; testing,localization/QA services; testing for AAA launches; audio localization; player support ops; localization; QA; player support,unknown,distributed,Lionbridge,Game localization/QA.
Looking Glass Studios,North America,"Cambridge, MA (USA)",1990-2000,closed,Thief; System Shock,,unknown,immersive sim,Thief; System Shock (legacy); System Shock; Ultima Underworld,-,-,closed,"Historical immersive-sim pioneer (System Shock, Thief)."
Lost Boys Interactive,North America,"Chicago, IL (USA)",2021 (High Voltage legacy),~100-200,Diablo IV support / co-dev,https://www.lostboysinteractive.com,press@embracer.com (press),AAA co-dev / support,Diablo IV support; Activision/Blizzard co-dev; Diablo IV; various Activision/Blizzard support,unknown,office,Embracer,Originating from High Voltage; Embracer studio.
Ludia,North America,"Montréal, QC (Canada)",2007,~200-400,Jurassic World Alive,https://www.ludia.com,unknown,mobile license,Jurassic World Alive; Jurassic World: The Game; Teenage Mutant Ninja Turtles: Legends; Dragons: Rise of Berk; Teenage Mutant Ninja Turtles,unknown,office,Jam City,Montreal licensed mobile.
Machine Zone,North America,"Palo Alto, CA (USA)",2008,~500+,SLG,https://www.machinezone.com,press@mz.com (press),mobile strategy,Game of War; Mobile Strike; Final Fantasy XV: A New Empire; Game of Thrones: Conquest,unknown,multi-office,private,SLG performance marketing.
MachineGames,North America,Uppsala (Sweden; ZeniMax),2009,~150–200,unknown (ZeniMax),https://machinegames.com,press@bethesda.net (press),AAA FPS,Wolfenstein: The New Order; Wolfenstein II; Indiana Jones and the Great Circle; Wolfenstein,unknown,office,Microsoft / ZeniMax,Wolfenstein reboot stewards; Indiana Jones adventure.
Maxis,North America,"Redwood City / Emeryville, CA",1987,~200–300,The Sims,https://www.ea.com/games/the-sims,press@ea.com (press),simulation / life sim,The Sims 4; SimCity; Spore; The Sims Mobile; The Sims; SimCity (historical); SimCity (tarihsel),unknown,office,EA,Studio defining the life sim category.
Media Molecule,Europe,Guildford (UK; SIE),2006,~100–150,unknown (SIE),https://www.mediamolecule.com,press@mediamolecule.com (press),creative platform / UGC,Dreams; LittleBigPlanet 3; Tearaway; LittleBigPlanet,unknown,office,Sony / PlayStation Studios,PlayStation UGC studio behind LittleBigPlanet and Dreams.
Microsoft Gaming / Xbox Game Studios,North America,"Redmond, WA (USA)",2001 (Xbox); 2022 Gaming org,Gaming division tens of thousands (Microsoft),Activision Blizzard acquisition ~$69B (2023); Game Pass subscription,https://www.xbox.com,press@xbox.com (press),platform; AAA publishing; subscription,Halo; Forza; Gears; Flight Simulator; Sea of Thieves; Halo Infinite; Forza Horizon 5; Gears 5,yes — Microsoft internship programs,hybrid / office (depending on the team),Microsoft,Game Pass + first-party slate; Bethesda and Activision Blizzard inside MS Gaming.
Midway Games,North America,"Chicago, IL (USA)",1988-2009,closed,Mortal Kombat; NBA Jam,,unknown,fighting / arcade,Mortal Kombat (legacy); NBA Jam (legacy); Mortal Kombat; Injustice roots; SpyHunter,-,-,closed (bankrupt); WB legacy,Historical arcade/console; NetherRealm continuation.
Mobius Digital,North America,"Los Angeles, CA (USA)",2014,~20-40,Outer Wilds,https://www.mobiusdigitalgames.com,support@mobiusdigitalgames.com (support),indie exploration / puzzle,Outer Wilds; Echoes of the Eye; Mobius Digital shorts; Annapurna partnership titles; The Loma Pit,unknown,hybrid,independent (Annapurna publishing),Outer Wilds cult hit.
Mojang Studios,Europe,Stockholm (Sweden; MS first party),2009,~700 range,Minecraft billions in revenue,https://www.minecraft.net,press@mojang.com (press),sandbox; live service,Minecraft; Minecraft Dungeons; Minecraft Legends; Minecraft Education,unknown,office / hybrid,Microsoft,Minecraft best-seller; Sweden-based Xbox family studio.
Monolith Productions,North America,"Kirkland, WA (USA)",1994,~200–300,unknown (WB),https://www.lith.com,press@warnerbros.com (press),AAA action,Shadow of War; Shadow of Mordor; Gotham Knights; Shadow of Mordor/War; Middle-earth,unknown,office,Warner Bros. Games,Nemesis system; WB studio closure risks should be monitored.
Mountaintop Studios,North America,California (USA),2020,~50-100,multiplayer,https://www.mountaintop.gg,unknown,multiplayer,unannounced competitive project; Valorant alumni studio; Mountaintop slate; unannounced multiplayer; Valorant alumni culture; project in development,unknown,office,private,Former Blizzard/Riot talent.
Naughty Dog,North America,"Santa Monica, CA (USA)",1984,~400–500,unknown (SIE),https://www.naughtydog.com,press@naughtydog.com (press),AAA action-adventure,The Last of Us Part I; The Last of Us Part II; Uncharted 4; Uncharted: Legacy of Thieves; Jak and Daxter (legacy); The Last of Us; Uncharted,rarely,office,Sony / PlayStation Studios,Cinematic single-player AAA benchmark at PlayStation Studios.
Netflix Games,North America,Los Angeles / global,2021 (unit),hundreds (units),subscription-based game,https://games.netflix.com,press@netflix.com (press),mobile / cloud; publishing,Oxenfree; Into the Breach; Netflix Games catalog; Into the Dead; Squid Game related,unknown,mixed,Netflix,"Studio acquisitions + publishing (Night School, Next Games, etc.)."
Nexon America,North America,"El Segundo, CA (USA)",2006,~200+,Korean PC publishing west,https://www.nexon.com,press@nexon.com (press),publishing / MMO,MapleStory; The First Descendant; Blue Archive west; MapleStory west; The First Descendant (publishing),unknown,office,Nexon,Nexon western operation; MapleStory and global publishing.
Niantic,North America,"San Francisco, CA (USA)",2015,~700 range,Pokémon GO revenues,https://nianticlabs.com,press@nianticlabs.com (press),AR / location-based,Pokémon GO; Monster Hunter Now; Ingress; Peridot; Pikmin Bloom,unknown,hybrid,private (Netflix investment etc.),AR game pioneer behind Pokémon GO.
Night School Studio,North America,"Glendale, CA (USA)",2014,~30-60,Oxenfree,https://nightschoolstudio.com,unknown,narrative adventure,Oxenfree; Oxenfree II; Afterparty; Twilight Theater,unknown,hybrid,Netflix,Netflix Games studio.
Nightdive Studios,North America,"Vancouver, WA (USA)",2012,~50-100,remaster / source port,https://nightdivestudios.com,press@nightdivestudios.com (press),remaster; remake,System Shock remake; Quake enhanced; Blade Runner enhanced; Quake remasters,unknown,hybrid,Atari (acquisition),Classic game preservation/remaster.
Ninja Theory,Europe,Cambridge (UK; Xbox),2000,~100–150,unknown (Microsoft),https://www.ninjatheory.com,press@xbox.com (press),action / narrative,Hellblade II; Hellblade; Bleeding Edge; DmC; Senua's Saga,unknown,office,Microsoft,Hellblade performance-capture narrative action; Xbox studio.
Nixxes Software,Europe,Utrecht (Netherlands; SIE),1999,~100+,PC port quality,https://www.nixxes.com,press@playstation.com (press),PC port / engineering,Horizon PC; Ghost of Tsushima PC; Spider-Man PC; PC ports: Horizon; Ghost of Tsushima; Spider-Man; Horizon / Spider-Man PC versions,unknown,office,Sony / PlayStation Studios,SIE PC engineering studio.
Obsidian Entertainment,North America,"Irvine, CA (USA)",2003,~250–300,unknown (Microsoft),https://www.obsidian.net,press@obsidian.net (press),RPG,Pentiment; Grounded; The Outer Worlds; Pillars of Eternity; Avowed; Fallout: New Vegas; Outer Worlds,unknown,office,Microsoft,CRPG/narrative RPG house inside Xbox Game Studios.
Other Ocean Interactive,North America,St. John's / Emeryville,2006,~100-200,port / co-dev,https://www.otherocean.com,press@otherocean.com (press),port; co-dev,Battletoads; NBA Jam; ports/remasters; ports / remasters; various Nintendo/port,unknown,multi-office,independent,Canada/USA port.
Panic Button,North America,"Austin, TX (USA)",2008,~50-100,console port,https://www.panicbuttongames.com,press@panicbuttongames.com (press),port,Fortnite Switch; Overwatch Switch; console ports; Among Us console; Among Us konsol,unknown,office,independent,High-profile ports.
Paradox Tectonic,North America,"Berkeley, CA (USA)",2019,closed (2024),Life by You,https://www.paradoxinteractive.com,pr@paradoxinteractive.com (press),life sim,Life by You (canceled); Paradox life-sim experiment; Berkeley studio era; Life by You (iptal),-,-,closed (Paradox),Historical Paradox studio.
Phoenix Labs,North America,"Vancouver, BC (Canada)",2014,~100-200,Dauntless,https://phxlabs.ca,info@phxlabs.ca (general); media@phxlabs.ca (press),action MMO,Dauntless; Dauntless: Rise of the Blades; live-service monster hunting; Phoenix Labs catalog; Dauntless: Rise of the Shattered; Phoenix Labs live-ops,unknown,office,Garena / Sea,Monster-hunt live service.
PixelOpus,North America,"San Mateo, CA (USA)",2014-2023,closed,Concrete Genie,https://www.pixelopus.com,press@playstation.com (press),indie / first-party,Concrete Genie; Astro Bot related PlayStation work; PS VR creative titles; PlayStation family showcase,-,-,closed (Sony 2023),Historical PS studio.
Plarium,Middle East,Herzliya (Israel) / Vilnius,2009,~1000+,RAID: Shadow Legends,https://plarium.com,press@plarium.com (press),mobile RPG / strategy,Raid: Shadow Legends; Mech Arena; Vikings: War of Clans; Vikings,unknown,multi-office,Aristocrat Leisure,Heavily performance-marketed mobile RPG.
Playable Worlds,North America,"San Mateo, CA (USA)",2020,~50-100,MMO,https://playableworlds.com,jobs@playableworlds.com (HR); press@playableworlds.com (press),MMO,Stars Reach (in development); Raph Koster MMO slate; sandbox social worlds; Raph Koster MMO; in development MMO,unknown,hybrid,private,Raph Koster MMO.
Playground Games,Europe,Leamington Spa (UK; Xbox),2010,~500+,Forza Horizon,https://playground-games.com,press@xbox.com (press),open world racing / AAA,Forza Horizon 5; Forza Horizon 4; Fable (upcoming); Forza Horizon 3; Forza Horizon; Fable (reboot); Fable (yeniden),unknown,office,Microsoft,Forza Horizon open-world racing; Fable revival in progress.
PlayStation London Studio,Europe,London (UK),2002,~100–200,unknown (SIE),https://www.playstation.com,press@playstation.com (press),VR / experimental,SingStar; PlayLink; SingStar (historical); VR projects; SingStar (tarihsel); VR projeleri,unknown,office,Sony / PlayStation Studios,SIE London studio (SingStar heritage; VR/first-party work).
PlayStation Studios,North America,San Mateo / global,2020 (brand),SIE first-party network,God of War; Spider-Man; Horizon,https://www.playstation.com,press@playstation.com (press),publishing / first-party umbrella,God of War; Spider-Man; Horizon; The Last of Us; Gran Turismo; Astro Bot; PlayStation Studios portfolio,unknown,mixed,Sony,"Naughty Dog, SM Studio, Insomniac etc. umbrella brand."
Playtika,Middle East,Herzliya (Israel) / US presence,2010,~4000,public social casino / casual,https://www.playtika.com,bizdev@playtika.com (HR),mobile social casino / casual,Slotomania; Bingo Blitz; House of Fun; June's Journey; Solitaire Grand Harvest; Ace Games investment,unknown,mixed,publicly traded / private structure,Israel-based live-ops/casino-mobile leader; Ace Games TR link.
